filename,epsilon,mean-size-of-PF,no-evals
wc+wc-3d-c4,0.04,115.77500000000001,115.77500000000001
wc+wc-3d-c4,0.16,91.424999999999997,91.424999999999997
wc+wc-3d-c4,0.12,102.925,102.925
wc+rs-3d-c4,0.08,109.425,109.425
wc+rs-3d-c4,0.2,93.849999999999994,93.849999999999994
wc+rs-3d-c4,0.02,122.55,122.55
wc+rs-3d-c4,0.3,74.674999999999997,74.674999999999997
wc+rs-3d-c4,0.01,139.125,139.125
wc+rs-3d-c4,0.04,118.7,118.7
wc+rs-3d-c4,0.16,104.075,104.075
wc+rs-3d-c4,0.12,92.174999999999997,92.174999999999997
wc-c1-3d-c1,0.08,111.7,111.7
wc-c1-3d-c1,0.2,67.775000000000006,67.775000000000006
wc-c1-3d-c1,0.02,102.425,102.425
wc-c1-3d-c1,0.3,65.0,65.0
wc-c1-3d-c1,0.01,117.27500000000001,117.27500000000001
wc-c1-3d-c1,0.04,99.599999999999994,99.599999999999994
wc-c1-3d-c1,0.16,84.25,84.25
wc-c1-3d-c1,0.12,79.724999999999994,79.724999999999994
wc-6d-c1,0.08,228.72499999999999,228.72499999999999
wc-6d-c1,0.2,190.27500000000001,190.27500000000001
wc-6d-c1,0.02,448.125,448.125
wc-6d-c1,0.3,215.55000000000001,215.55000000000001
wc-6d-c1,0.01,335.44999999999999,335.44999999999999
wc-6d-c1,0.04,371.89999999999998,371.89999999999998
wc-6d-c1,0.16,249.82499999999999,249.82499999999999
wc-6d-c1,0.12,343.47500000000002,343.47500000000002
noc_cm,0.08,38.850000000000001,38.850000000000001
noc_cm,0.2,41.774999999999999,41.774999999999999
noc_cm,0.02,65.549999999999997,65.549999999999997
noc_cm,0.3,37.850000000000001,37.850000000000001
noc_cm,0.01,75.849999999999994,75.849999999999994
noc_cm,0.04,75.275000000000006,75.275000000000006
noc_cm,0.16,41.850000000000001,41.850000000000001
noc_cm,0.12,52.100000000000001,52.100000000000001
llvm,0.08,54.799999999999997,54.799999999999997
llvm,0.2,44.299999999999997,44.299999999999997
llvm,0.02,99.25,99.25
llvm,0.3,43.274999999999999,43.274999999999999
llvm,0.01,95.724999999999994,95.724999999999994
llvm,0.04,103.02500000000001,103.02500000000001
llvm,0.16,52.924999999999997,52.924999999999997
llvm,0.12,60.049999999999997,60.049999999999997
rs-6d-c3,0.08,63.274999999999999,63.274999999999999
rs-6d-c3,0.2,55.674999999999997,55.674999999999997
rs-6d-c3,0.02,175.0,177.69999999999999
rs-6d-c3,0.3,30.600000000000001,30.600000000000001
rs-6d-c3,0.01,206.5,206.5
rs-6d-c3,0.04,147.09999999999999,149.75
rs-6d-c3,0.16,55.875,55.875
rs-6d-c3,0.12,106.7,106.7
sort_256,0.08,57.549999999999997,57.549999999999997
sort_256,0.2,29.975000000000001,29.975000000000001
sort_256,0.02,82.674999999999997,82.674999999999997
sort_256,0.3,21.850000000000001,21.850000000000001
sort_256,0.01,92.599999999999994,92.599999999999994
sort_256,0.04,65.5,65.5
sort_256,0.16,33.725000000000001,33.725000000000001
sort_256,0.12,41.75,41.75
wc-5d-c5,0.08,33.799999999999997,33.799999999999997
wc-5d-c5,0.2,30.899999999999999,30.899999999999999
wc-5d-c5,0.02,41.549999999999997,41.549999999999997
wc-5d-c5,0.3,30.449999999999999,30.449999999999999
wc-5d-c5,0.01,53.850000000000001,53.850000000000001
wc-5d-c5,0.04,39.299999999999997,39.299999999999997
wc-5d-c5,0.16,31.199999999999999,31.199999999999999
wc-5d-c5,0.12,32.424999999999997,32.424999999999997
